Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Amador County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butte County, CA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Calaveras County, CA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Colusa County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Contra Costa County, CA                                 NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Del Norte County, CA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006017              Estimate, Median Age by Sex, Total Population (5-year estimate) in El Dorado County, CA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fresno County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Glenn County, CA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Humboldt County, CA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Imperial County, CA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Inyo County, CA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kern County, CA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kings County, CA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake County, CA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lassen County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Los Angeles County, CA                                  NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Madera County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006041              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marin County, CA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mariposa County, CA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mendocino County, CA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Merced County, CA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E006049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Modoc County, CA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
